bookmaker,league,market,subject,label,line,odds,impl_prb
Unibet,NBA,Top Point Scorer,Jordan Poole,Jordan Poole,0.5,3.5,0.2857
Fanatics,NBA,Top Point Scorer,Jordan Poole,Jordan Poole,0.5,3.2,0.3125
FanDuel,NBA,Top Point Scorer,Jordan Poole,Jordan Poole,0.5,3.2,0.3125
BetRivers,NBA,Top Point Scorer,Alexandre Sarr,Alexandre Sarr,0.5,41.0,0.0244
SugarHouse,NBA,Top Point Scorer,Alexandre Sarr,Alexandre Sarr,0.5,41.0,0.0244
Unibet,NBA,Top Point Scorer,Alexandre Sarr,Alexandre Sarr,0.5,41.0,0.0244
FanDuel,NBA,Top Point Scorer,Alexandre Sarr,Alexandre Sarr,0.5,51.0,0.0196
Fanatics,NBA,Top Point Scorer,Jaylen Brown,Jaylen Brown,0.5,5.0,0.2
FanDuel,NBA,Top Point Scorer,Jordan Hawkins,Jordan Hawkins,0.5,81.0,0.0123
Fanatics,NBA,Top Point Scorer,Jayson Tatum,Jayson Tatum,0.5,1.71,0.5848
Fanatics,NBA,Top Point Scorer,Kristaps Porzingis,Kristaps Porzingis,0.5,15.0,0.0667
Fanatics,NBA,Top Point Scorer,Fred VanVleet,Fred VanVleet,0.5,18.0,0.0556
Fanatics,NBA,Top Point Scorer,Derrick White,Derrick White,0.5,15.0,0.0667
Fanatics,NBA,Top Point Scorer,Alperen Sengün,Alperen Sengün,0.5,8.0,0.125
FanDuel,NBA,Top Point Scorer,Dereck Lively II,Dereck Lively II,0.5,101.0,0.0099
BetRivers,NBA,Top Point Scorer,Dereck Lively II,Dereck Lively II,0.5,101.0,0.0099
SugarHouse,NBA,Top Point Scorer,Dereck Lively II,Dereck Lively II,0.5,101.0,0.0099
Unibet,NBA,Top Point Scorer,Dereck Lively II,Dereck Lively II,0.5,101.0,0.0099
FanDuel,NBA,Top Point Scorer,Dean Wade,Dean Wade,0.5,101.0,0.0099
BetRivers,NBA,Top Point Scorer,Dean Wade,Dean Wade,0.5,101.0,0.0099
SugarHouse,NBA,Top Point Scorer,Dean Wade,Dean Wade,0.5,101.0,0.0099
Unibet,NBA,Top Point Scorer,Dean Wade,Dean Wade,0.5,101.0,0.0099
Fanatics,NBA,Top Point Scorer,Kyrie Irving,Kyrie Irving,0.5,2.15,0.4651
BetRivers,NBA,Top Point Scorer,Kyrie Irving,Kyrie Irving,0.5,2.25,0.4444
SugarHouse,NBA,Top Point Scorer,Kyrie Irving,Kyrie Irving,0.5,2.25,0.4444
FanDuel,NBA,Top Point Scorer,Kyrie Irving,Kyrie Irving,0.5,2.25,0.4444
Unibet,NBA,Top Point Scorer,Kyrie Irving,Kyrie Irving,0.5,2.25,0.4444
BetRivers,NBA,Top Point Scorer,Spencer Dinwiddie,Spencer Dinwiddie,0.5,21.0,0.0476
SugarHouse,NBA,Top Point Scorer,Spencer Dinwiddie,Spencer Dinwiddie,0.5,21.0,0.0476
Fanatics,NBA,Top Point Scorer,Spencer Dinwiddie,Spencer Dinwiddie,0.5,18.0,0.0556
Unibet,NBA,Top Point Scorer,Spencer Dinwiddie,Spencer Dinwiddie,0.5,21.0,0.0476
FanDuel,NBA,Top Point Scorer,Spencer Dinwiddie,Spencer Dinwiddie,0.5,21.0,0.0476
BetRivers,NBA,Top Point Scorer,Maxi Kleber,Maxi Kleber,0.5,101.0,0.0099
SugarHouse,NBA,Top Point Scorer,Maxi Kleber,Maxi Kleber,0.5,101.0,0.0099
