bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
BetRivers,0.0188,0.4386,Under,NBA,3.5,Rebounds,2.28,Derrick White,0.4468401486988847
SugarHouse,0.0188,0.4386,Under,NBA,3.5,Rebounds,2.28,Derrick White,0.4468401486988847
HardRock,0.0188,0.16,Over,NFL,0.5,Total Sacks,6.25,Patrick Queen,0.16301087364079492
Unibet,0.0188,0.4386,Under,NBA,3.5,Rebounds,2.28,Derrick White,0.4468401486988847
DraftKings,0.0181,0.5236,Under,NBA,5.5,Assists,1.91,Jordan Poole,0.5330415914634986
HardRock,0.018,0.2105,Over,NHL,0.5,Total Player Goals,4.75,Brandon Saad,0.21431265321516124
Unibet,0.0179,0.5319,Over,NHL,2.5,Total Shots on Goal,1.88,Bryan Rust,0.5414411759932104
BetRivers,0.0179,0.5319,Over,NHL,2.5,Total Shots on Goal,1.88,Bryan Rust,0.5414411759932104
DraftKings,0.0176,0.5128,Over,NBA,15.5,Points + Assists,1.95,Isaiah Hartenstein,0.5218261442832924
ESPNBet,0.0175,0.5319,Over,NHL,2.5,Total Shots on Goal,1.88,Connor Bedard,0.5412242948295589
Pinnacle,0.0172,0.3704,Over,NHL,2.5,Total Shots on Goal,2.7,Robert Thomas,0.3767317246445911
Unibet,0.0171,0.4878,Under,NHL,1.5,Total Shots on Goal,2.05,Alex Killorn,0.49612480453582286
Fliff,0.0171,0.565,Under,NBA,9.5,Rebounds,1.77,Scottie Barnes,0.5746505430533205
BetRivers,0.0171,0.4878,Under,NHL,1.5,Total Shots on Goal,2.05,Alex Killorn,0.49612480453582286
DraftKings,0.0169,0.5128,Under,NBA,26.5,Points + Assists,1.95,C.J. McCollum,0.5214889074538197
HardRock,0.0169,0.5128,Over,NFL,7.5,Total Receptions,1.95,Brock Bowers,0.5214889074538197
Bovada,0.0168,0.4878,Over,NBA,28.5,Points + Assists,2.05,Desmond Bane,0.4959947224578267
Bovada,0.0166,0.5236,Under,NFL,1.5,Total Receptions,1.91,Najee Harris,0.5322549836853492
Bovada,0.0164,0.5348,Under,NFL,44.5,Total Rushing Yards,1.87,Lamar Jackson,0.5435395899943577
DraftKings,0.0162,0.25,Over,NHL,0.5,Total Player Goals,4.0,Ryan O'Reilly,0.2540413533834586
Unibet,0.0161,0.5208,Under,NBA,11.5,Rebounds + Assists,1.92,Fred VanVleet,0.529217247156323
SugarHouse,0.0161,0.5208,Under,NBA,11.5,Rebounds + Assists,1.92,Fred VanVleet,0.529217247156323
BetRivers,0.0161,0.5208,Under,NBA,11.5,Rebounds + Assists,1.92,Fred VanVleet,0.529217247156323
Bovada,0.0154,0.4878,Under,NBA,20.5,Points + Rebounds,2.05,Fred VanVleet,0.49531515526264114
BetMGM,0.0154,0.5263,Over,NFL,34.5,Total Rushing Yards,1.9,Jaleel McLaughlin,0.5344243792325056
SugarHouse,0.0153,0.4651,Over,NBA,4.5,Rebounds,2.15,Dillon Brooks,0.4722134555512554
BetRivers,0.0153,0.4651,Over,NBA,4.5,Rebounds,2.15,Dillon Brooks,0.4722134555512554
Unibet,0.0153,0.4651,Over,NBA,4.5,Rebounds,2.15,Dillon Brooks,0.4722134555512554
Unibet,0.0151,0.4808,Over,NBA,5.5,Assists,2.08,Shai Gilgeous-Alexander,0.48804018363929313
SugarHouse,0.0151,0.4808,Over,NBA,5.5,Assists,2.08,Shai Gilgeous-Alexander,0.48804018363929313
BetRivers,0.0151,0.4808,Over,NBA,5.5,Assists,2.08,Shai Gilgeous-Alexander,0.48804018363929313
Pinnacle,0.015,0.4926,Under,NFL,26.5,Longest Reception,2.03,Ja'Marr Chase,0.5
ESPNBet,0.0149,0.1538,Over,NFL,0.5,Total Sacks,6.5,Jack Campbell,0.1561446234544773
HardRock,0.0149,0.1538,Over,NFL,0.5,Total Sacks,6.5,Jack Campbell,0.1561446234544773
BetMGM,0.0147,0.4878,Over,NBA,6.5,Assists,2.05,Immanuel Quickley,0.4949628275882565
BetMGM,0.0137,0.5,Under,NBA,8.5,Rebounds + Assists,2.0,Jordan Poole,0.5068707958421638
Bovada,0.0134,0.5,Over,NFL,48.5,Total Rushing Yards,2.0,Jayden Daniels,0.5067235463229157
Unibet,0.0134,0.4082,Over,NHL,2.5,Total Shots on Goal,2.45,Jake DeBrusk,0.413649476477047
Bovada,0.0134,0.5,Under,NBA,26.5,Points + Rebounds,2.0,Trae Young,0.5067235463229157
BetRivers,0.0134,0.4082,Over,NHL,2.5,Total Shots on Goal,2.45,Jake DeBrusk,0.413649476477047
BetRivers,0.0133,0.4878,Over,NHL,2.5,Total Shots on Goal,2.05,Conor Garland,0.4942992392430975
Unibet,0.0133,0.4878,Over,NHL,2.5,Total Shots on Goal,2.05,Conor Garland,0.4942992392430975
ESPNBet,0.0132,0.2381,Over,NHL,0.5,Total Player Goals,4.2,Jake Neighbours,0.24122683225138775
PointsBet,0.0131,0.3636,Over,NBA,0.5,3-Pointers,2.75,Alperen Sengün,0.3683966205551945
PointsBet,0.0128,0.6536,Under,NBA,1.5,Steals,1.53,Jaylen Brown,0.6619651647103371
Pinnacle,0.0126,0.266,Over,NHL,0.5,Total Player Goals,3.76,Tim Stützle,0.26929965123951366
BetMGM,0.0126,0.5556,Over,NBA,2.5,Assists,1.8,Karl-Anthony Towns,0.5625360000599076
BetRivers,0.0123,0.5464,Under,NBA,8.5,Rebounds + Assists,1.83,Tobias Harris,0.5531598513011151
SugarHouse,0.0123,0.5464,Under,NBA,8.5,Rebounds + Assists,1.83,Tobias Harris,0.5531598513011151
Unibet,0.0123,0.5464,Under,NBA,8.5,Rebounds + Assists,1.83,Tobias Harris,0.5531598513011151
Pinnacle,0.0122,0.3861,Over,NHL,0.5,Total Points,2.59,Ryan Donato,0.390829927499428
SugarHouse,0.0121,0.495,Under,NBA,10.5,Rebounds + Assists,2.02,Immanuel Quickley,0.5010372904498359
Unibet,0.0121,0.495,Under,NBA,10.5,Rebounds + Assists,2.02,Immanuel Quickley,0.5010372904498359
BetRivers,0.0121,0.495,Under,NBA,10.5,Rebounds + Assists,2.02,Immanuel Quickley,0.5010372904498359
HardRock,0.012,0.5747,Over,NFL,1.5,Total Passing Touchdowns,1.74,Lamar Jackson,0.5815998928511246
Bovada,0.012,0.5747,Over,NFL,1.5,Total Passing Touchdowns,1.74,Lamar Jackson,0.5815998928511246
Pick6,0.0118,0.5747,Under,NBA,2.5,3-Pointers,1.74,OG Anunoby,0.581494362376756
BetMGM,0.0115,0.5236,Under,NBA,36.5,Points + Rebounds,1.91,Domantas Sabonis,0.5295644114921223
Unibet,0.0115,0.5128,Over,NBA,4.5,Rebounds,1.95,Carlton Carrington,0.5187330958024887
SugarHouse,0.0115,0.5128,Over,NBA,4.5,Rebounds,1.95,Carlton Carrington,0.5187330958024887
HardRock,0.0115,0.5236,Under,NBA,36.5,Points + Rebounds,1.91,Domantas Sabonis,0.5295644114921223
BetRivers,0.0115,0.5128,Over,NBA,4.5,Rebounds,1.95,Carlton Carrington,0.5187330958024887
Unibet,0.0114,0.4386,Under,NHL,0.5,Total Points,2.28,Pavel Buchnevich,0.44358681347008766
Unibet,0.0113,0.5747,Over,NHL,1.5,Total Shots on Goal,1.74,Ryan O'Reilly,0.5812092197731152
BetRivers,0.0113,0.5747,Over,NHL,1.5,Total Shots on Goal,1.74,Ryan O'Reilly,0.5812092197731152
