bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
Unibet,-0.0566,0.5649717514124294,Under,NBA,16.5,Points + Rebounds,1.77,Jaden McDaniels,0.5329815303430079
SugarHouse,-0.0566,0.5649717514124294,Under,NBA,16.5,Points + Rebounds,1.77,Jaden McDaniels,0.5329815303430079
BetRivers,-0.0566,0.5649717514124294,Under,NBA,16.5,Points + Rebounds,1.77,Jaden McDaniels,0.5329815303430079
SugarHouse,-0.0566,0.5649717514124294,Under,NBA,16.5,Points + Rebounds,1.77,Jaden McDaniels,0.5329815303430079
Unibet,-0.0566,0.5649717514124294,Under,NBA,16.5,Points + Rebounds,1.77,Jaden McDaniels,0.5329815303430079
Pinnacle,-0.0567,0.4048582995951417,Over,NHL,2.5,Total Shots on Goal,2.47,Mikael Granlund,0.38190954773869346
Pinnacle,-0.0567,0.4048582995951417,Over,NHL,2.5,Total Shots on Goal,2.47,Mikael Granlund,0.38190954773869346
Bovada,-0.0576,0.53475935828877,Over,NBA,38.5,Points + Rebounds + Assists,1.87,Cade Cunningham,0.5039787798408488
Bovada,-0.0576,0.53475935828877,Over,NBA,38.5,Points + Rebounds + Assists,1.87,Cade Cunningham,0.5039787798408488
Fliff,-0.0576,0.53475935828877,Over,NBA,38.5,Points + Rebounds + Assists,1.87,Cade Cunningham,0.5039787798408488
Fliff,-0.0576,0.53475935828877,Over,NBA,38.5,Points + Rebounds + Assists,1.87,Cade Cunningham,0.5039787798408488
Fliff,-0.0599,0.6289308176100629,Over,NHL,3.5,Total Shots on Goal,1.59,Jack Hughes,0.5912596401028277
Fliff,-0.0599,0.6289308176100629,Over,NHL,3.5,Total Shots on Goal,1.59,Jack Hughes,0.5912596401028277
Underdog,-0.0606,0.5494505494505494,Over,NFL,15.5,Total Receiving Yards,1.82,Cole Kmet,0.5161290322580646
Underdog,-0.0606,0.5494505494505494,Over,NFL,15.5,Total Receiving Yards,1.82,Cole Kmet,0.5161290322580646
